,name,date,rating,review,critic
114,Marirobles,"Mar 19, 2021",0,"Esta muy aburrido es muy flop, debería de hacer algo nuevo la verdad, se parece a taylor no se sabe de donde sacan críticas buenas",Negative
115,capitol325,"Mar 19, 2021",0,"<span>Such a good album like wine at the summer heat. Lana, as always, created a unique atmosphere, created her new world and found herself</span>",Negative
116,Luuqee,"Mar 19, 2021",0,"<span>Perfeito, único, deslumbrante, fenomenal, maioral, tudo de bom, suprassumo.</span>",Negative
118,justinkingofpop,"Mar 19, 2021",0,<span>Expectations were high after NFR. Wasn’t expecting this record to be as underwhelming as it is.</span>,Negative
119,Evanesims,"Mar 19, 2021",1,"<span>One of the most boring, pretentious albums I have ever heard. This is just bad...</span>",Negative
120,justicestan,"Mar 19, 2021",1,"<span>As a Lana del Ray fan, i am truly dissappointed by what i've heard. She continued to put out another album which sounds the same. Hopefully her next project will be more inspired. I can't believe it has come to this.</span>",Negative
121,acecyan,"Mar 19, 2021",0,"<span>This def takes a few listens, especially since the pop and hook-y elements from her previous projects are almost completely gone. But, when you do get the hang of the songs, you'll see the masterpiece that the album is outwards, and within</span>",Negative
122,justmejoe,"Mar 19, 2021",0,<span>This a the worst album ever.<br/>I DO NOT LIKE THIS<br/>The music and the voice sucks. Don’t listen </span>,Negative
123,Cam99,"Mar 19, 2021",0,"<span>Booring af, it's the same kind of songs Lana has been releasing since her debut I was expecting so much more</span>",Negative
124,wales7388,"Mar 19, 2021",3,"<span>it didn't exactly blow me away, it was pretty standard. i always have a hard time getting into lana's albums but when its good its good and when its not.. its genuinely not. this might just be because i'm not a fan of nfr either however honeymoon is top tier</span>",Negative
125,filipibofinger,"Mar 19, 2021",0,"<span>sem explicacoes o melhor album de musicas ja lancado por lana del rey, e vindo ainda de uma pandemia... ela esta no seu augeee</span>",Negative
126,saras112,"Mar 19, 2021",0,"<span>After a couple of songs the album becomes so monotonous, the high vocal delivery gets old pretty soon and the instrumentation leaves a lot to be desired.</span>",Negative
127,MAUROOO,"Mar 19, 2021",0,,Negative
132,Lizzz,"Mar 19, 2021",2,"<span>Didnt top NFR, Underperformed. I am afraid she will never top that album. Album sounds monotonous, Her vocals soud the same. Great writting but it was wasted in the production. Sounds basic, and doesnt show a growth as an artist.<br/>I do not recommend it.</span>",Negative
133,Abrahamartinez,"Mar 19, 2021",0,"<span>El álbum no es cohesivo  y carece de sentido, nunca podemos esperar algo relativamente bueno de aquella artista.</span>",Negative
136,Morenoluisf,"Mar 19, 2021",0,"<span>THIS IS A MASTERPIECE! loving the sounds soft, jazzy and unexpected descontructed.... 10</span>",Negative
139,Alexsb,"Mar 19, 2021",0,"When we thought Lana Del Rey couldn't do a worse job than ""Norman F * cking Rockwell!"" she decides to release another album, an album full of basic lyrics like the ones she has written throughout her mediocre career, it is inevitable that Lana Del Rey will fail, she deserves her album to fail, Lana Del Rey He should leave the musical environment, it is certainly not his thing, he has shown us that he does not even know how to compose a decent lyrics, this new album is disgusting!.",Negative
141,camxjdb,"Mar 19, 2021",1,,Negative
142,lust4d13,"Mar 19, 2021",0,"<span>The best album of the year, It´s perfect and who doesn´t agree make it better</span>",Negative
143,fabiolabrinez,"Mar 19, 2021",0,<span>zero zero zero zero zero zero zero zero zero zero zero zero zero zero zero zero</span>,Negative
144,tais1454,"Mar 19, 2021",0,"<span>Ii loved this new album lana always delivering perfect works, but Norman **** Rockwell is my fav ever</span>",Negative
145,Dangelojbieber,"Mar 19, 2021",0,"<span>So boring, nothing new. This is just bad... Very disappointed. I expected more</span>",Negative
