,name,date,rating,review,critic
0,nickkingofearth,"Mar 19, 2021",10,"<span>The album is experimental, soft, jazzy, deconstructed. Completely unexpected and I loved it.</span>",Positive
1,major_tom,"Mar 19, 2021",10,"<span>White Dress, Tulsa Jesus Freak, Dark But Just A Game: These are all very different and beautifully produced songs. Lana keeps getting better!</span>",Positive
2,NathandelRey,"Mar 19, 2021",10,"<span>Lana Make a perfect story, make me feel happy and sad, but in love; THKS Lana</span>",Positive
3,Panchogul,"Mar 19, 2021",10,"<span>Excelente trabajo, majestuoso en todo su esplendor, es difícil decidir si está a la altura de Norman **** Rockwell, el cual ha sido el mejor trabajo de Lana hasta la fecha, está al mismo nivel o quizás superior, pero nunca más abajo, valió la pena la espera </span>",Positive
4,domenico629,"Mar 18, 2021",10,"<span>It’s a perfect album. It has a different vibe than NFR , it’s more quiet and soft , with a country vibe to it , but also a lot more personal.<br/>It’s definitely one of the most mature album from Lana , it seems like a transition to something that will be more precise and outstanding , love it.</span>",Positive
5,Missqueen,"Mar 19, 2021",10,"<span>GOD IS A WOMAN, But Lana is god BECAUSE, is god , the album is **** amazing guys ❤️❤️❤️❤️</span>",Positive
6,carolinakinter,"Mar 19, 2021",10,"<span>Lana del Rey se consagra como A-List e vai se nivelando aos artistas que ela presta homenagem. A magnitude do álbum combina com a vulnerabilidade que ela mostra em algumas músicas. Impecável em toda a discografia, consegue deixar o público cada vez mais animado e contente com o trabalho a cada novo lançamento.</span>",Positive
7,Gsp,"Mar 19, 2021",10,<span>Che dire..Lana del Rey non delude mai. È una garanzia. Un bel gioiellino da ascoltare attentamente. Sta perfettamente al passo con i suoi lavori precedenti.</span>,Positive
8,popeart,"Mar 18, 2021",10,Love.Didn’t know what to expect going into this but damn she never disappoint.,Positive
9,LucasAG,"Mar 19, 2021",10,"<span>Incredible experience, amazing vibe. Another album that has positively pleased your impeccable discography.Lana continue h Thank You Lana Del Rey</span>",Positive
10,rafabcanuto,"Mar 19, 2021",10,<span>The best album ever. She is the best singer and songwriter of our generation!</span>,Positive
11,imhcasper,"Mar 19, 2021",10,"<span>talented, brilliant, incredible, amazing, show stopping, spectacular, never the same, totally unique, completely not ever been done before, unafraid to reference or not reference, put it in a blender, **** on it, vomit on it, eat it, give birth to it.</span>",Positive
12,PauloDelRey,"Mar 19, 2021",10,"<span>Lana Del Rey, continua sendo fiel ao estilo musical do seu álbum antecessor, mas dessa vez ela aborda assuntos mais pessoais, deixando de lado um pouco do seu amor pela cena americana, Chemtrails Over The Country Club é mais do que nunca, o álbum mas pessoal de Del Rey.</span>",Positive
13,eleveneggos,"Mar 19, 2021",10,<span>simplesmente tudo pra mim<br/>perfeito<br/>Jack Antonoff e Lana del Rey comeram o cu de todo mundo com esse álbum</span>,Positive
14,Lizzypatton,"Mar 19, 2021",10,"<span>Ele sofre um pouco por ser o sucessor do norman e sair perdendo na comparação, mas é um belíssimo álbum.</span>",Positive
15,Garfunkel,"Mar 19, 2021",10,"<span>Simply divine , Her songwritinf sticks out in the best way imaginable and her beautiful voice haunts you .</span>",Positive
16,Mati_2003,"Mar 19, 2021",10,"<span>Arte, lo amo, Taylor Swift y Lana Del Rey son las patronas, urge que colaboren </span>",Positive
17,Anjaneya99,"Mar 19, 2021",10,"<span>Lana has always created albums so relaxing that you could literally drown out all your troubles at one listen, and this is what chemtrails does. A relaxed album with such sweet moments in life. beautiful</span>",Positive
18,ViktorWong,"Mar 18, 2021",10,"<span>This is the best album's Lana del Rey New sounds, this is amazing I love every song<br/>Wild at heart so majestic</span>",Positive
19,GLCC2431,"Mar 19, 2021",10,"<span>Lana Del Rey solo hace arte, un álbum con unas letras profundas que demuestran el talento de composición tanto de Lana como de Jack y la producción a cargo de estos 2 es toda una maravilla.</span>",Positive
20,kaana948,"Mar 19, 2021",10,her best album perioddddddddttttttttaaabbbbcccdddeefefffgggggghhhhhhiiiiiijjjjjjjjkkkkk,Positive
21,Khalilalashy,"Mar 19, 2021",10,"<span>Absolutely wonderful! Lana keeps repurposing her authentic melodies, with a haunted and ethereal ecstatic!! White Dress and Wild at Heart could be one of the best tracks off the album.</span>",Positive
22,sammiebrond,"Mar 19, 2021",10,<span>there are no skips. lana once again proved that she is the Queen of Alternative. coming for Album of the Year</span>,Positive
23,rickpr99,"Mar 19, 2021",10,"<span>Difficult to top NFR!, but very well produced and arranged (and very folky)</span>",Positive
24,Artuugongu,"Mar 19, 2021",10,<span>After NFR I didn’t except her to outdo herself but this album has proved me wrong. Perfect!!!</span>,Positive
25,joanbaez4,"Mar 19, 2021",10,<span>This is her best work. Very beautifully written and impactful. Bless the reigning queen of Alternative</span>,Positive
26,0987,"Mar 19, 2021",10,"<span>Thank God for Lana Del Rey and her music. Best songs: White Dress, Wild at Heart, title track and Dance Till We Die.</span>",Positive
27,caiotidek,"Mar 19, 2021",10,<span>Ela dança como Jesus em tempo de caos. Obrigado por esse incrível e impecável álbum. Você se reinventou e mostrou para todos como se faz um retorno triunfal.</span>,Positive
28,lucaswho,"Mar 19, 2021",10,<span>Masterpiece. The peak of everything that lana ever made. All her decade-long work culminated to this one album.</span>,Positive
29,DiegoMoura,"Mar 19, 2021",10,<span>Her best work cohesively. Stunning piece of art. This is del Rey breaking barriers</span>,Positive
30,LordNaxus,"Mar 19, 2021",10,"<span>Again, Lana has made a work of art! It made feel nostalgic about my adolescence and childhood</span>",Positive
31,CharlesT,"Mar 19, 2021",10,"<span>beautiful lyrics and melodies, really inspiring and hopeful to be more positive from sadness.</span>",Positive
32,Aaron20,"Mar 19, 2021",10,<span>Only chemtrails over the country club could be the next album after the piece of art how was norman F rockwell</span>,Positive
33,iaggo,"Mar 19, 2021",10,"<span>Lana del rey is back, and she's never been gone at all. love the album, it's beautifully written and sang and done ❤️</span>",Positive
